Disparity $d$,S.Attr. $s_i$,Promoted,Pred. $\hat{y}_i$,Label. $y_{i}$,Flip.Direction,Flip $y_i$?
d>0,$s_i$=0,Y,$\hat{y}_i$>0.5,$y_i$<0.5,FP->TP,N
d>0,$s_i$=0,Y,$\hat{y}_i$>0.5,$y_i$>0.5,TP->FP,Y
d>0,$s_i$=1,N,$\hat{y}_i$>0.5,$y_i$<0.5,FP->TP,Y
d>0,$s_i$=1,N,$\hat{y}_i$>0.5,$y_i$>0.5,TP->FP,N
d<0,$s_i$=0,N,$\hat{y}_i$>0.5,$y_i$<0.5,FP->TP,Y
d<0,$s_i$=0,N,$\hat{y}_i$>0.5,$y_i$>0.5,TP->FP,N
d<0,$s_i$=1,Y,$\hat{y}_i$>0.5,$y_i$<0.5,FP->TP,N
d<0,$s_i$=1,Y,$\hat{y}_i$>0.5,$y_i$>0.5,TP->FP,Y
d>0,$s_i$=0,Y,$\hat{y}_i$<0.5,$y_i$<0.5,TN->FN,N
d>0,$s_i$=0,Y,$\hat{y}_i$<0.5,$y_i$>0.5,FN->TN,Y
d>0,$s_i$=1,N,$\hat{y}_i$<0.5,$y_i$<0.5,TN->FN,Y
d>0,$s_i$=1,N,$\hat{y}_i$<0.5,$y_i$>0.5,FN->TN,N
d<0,$s_i$=0,N,$\hat{y}_i$<0.5,$y_i$<0.5,FN->TN,Y
d<0,$s_i$=0,N,$\hat{y}_i$<0.5,$y_i$>0.5,TN->FN,N
d<0,$s_i$=1,Y,$\hat{y}_i$<0.5,$y_i$<0.5,TN->FN,N
d<0,$s_i$=1,Y,$\hat{y}_i$<0.5,$y_i$>0.5,FN->TN,Y
